Sample,Model,MSE,PSNR,SSIM
0,LinearInterpolation,0.0220383871355339,14.432282091583623,0.4644641746297484
0,SinusoidalInterpolation,0.028262723581237752,13.351940059617455,0.165748743263869
0,UNet2D,0.0018062899114743365,25.296205606494084,0.598269176909823
0,UNet2dRNO,0.025487951564218136,13.80073083802448,0.2114821221503205
0,UNet2dHLCC,0.004425979633593114,21.403986057888673,0.48647995658092275
1,LinearInterpolation,0.0073659687188848315,13.629257603748112,0.5916964269658475
1,SinusoidalInterpolation,0.010549671645554402,12.069166879794974,0.40050464879610315
1,UNet2D,0.0013137365163175029,21.116473589470438,0.5983165237257162
1,UNet2dRNO,0.022037401891403213,8.869952387055385,0.15511652975265686
1,UNet2dHLCC,0.001225798899388516,21.417364035008887,0.5346892160531165
2,LinearInterpolation,0.04854360985027368,10.704517332635469,0.5886505743815291
2,SinusoidalInterpolation,0.06239556934327718,9.614300500244672,0.37717042660435846
2,UNet2D,0.004225012011790435,21.30755853922073,0.5909259104113688
2,UNet2dRNO,0.035593638878614504,12.052114119993133,0.17989466525345046
2,UNet2dHLCC,0.004854724170112733,20.704192421944015,0.47501910174774625
3,LinearInterpolation,0.0010841847454110944,14.006534020600949,0.5448521244228138
3,SinusoidalInterpolation,0.0015720757033638037,12.392832388065864,0.45226817987209816
3,UNet2D,0.0036182771835806798,8.772548608984362,0.37438640169673315
3,UNet2dRNO,0.12469997579779443,-6.601096747087453,0.021330031463816755
3,UNet2dHLCC,0.00022082697205889966,20.917045769588242,0.3758146500108103
4,LinearInterpolation,0.014627673621049254,13.296700495762053,0.4145620690799228
4,SinusoidalInterpolation,0.02577876209171075,10.835832526922145,0.20041897300211303
4,UNet2D,0.0038312139188831523,19.11508909346204,0.6409568537326142
4,UNet2dRNO,0.058005543307572766,7.313758122279161,0.18345591030769406
4,UNet2dHLCC,0.0018551328886336673,22.264702863264358,0.5440733689114152
5,LinearInterpolation,0.007056870901500797,12.895725824496061,0.5577848226275938
5,SinusoidalInterpolation,0.010632851974830927,11.115349870750723,0.3257135820047859
5,UNet2D,0.002034195323359115,18.29792103437948,0.6791252278581871
5,UNet2dRNO,0.07484937537005609,2.639965745291674,0.13097167335476
5,UNet2dHLCC,0.001935796039259558,18.513251580328795,0.5204655411776586
6,LinearInterpolation,0.032194954673622475,11.363079715484965,0.631758221322324
6,SinusoidalInterpolation,0.04785401341486093,9.641774225463099,0.43878435465048743
6,UNet2D,0.003159383841079847,21.444933969627545,0.5853228188077816
6,UNet2dRNO,0.016962003791720026,14.146186335897728,0.13843780186084959
6,UNet2dHLCC,0.003491748628586101,21.01052818300388,0.44033649142265185
7,LinearInterpolation,0.011610844969872117,10.91125573137405,0.46668152687917436
7,SinusoidalInterpolation,0.014032870688104875,10.088428762204234,0.27799055823768365
7,UNet2D,0.00241439281239648,17.731814699098265,0.6241773699442776
7,UNet2dRNO,0.09140047169481019,1.9504096243245137,0.0939262839598099
7,UNet2dHLCC,0.00236584527052972,17.820030616804274,0.5090679892593051
8,LinearInterpolation,0.007291989895229152,13.11554804002251,0.5525712488879113
8,SinusoidalInterpolation,0.0117459418427557,11.045130159620602,0.33254362048415487
8,UNet2D,0.001866842357701406,19.03293215922924,0.5383152545061939
8,UNet2dRNO,0.06658232197306581,3.510419256205518,0.15594462135363418
8,UNet2dHLCC,0.001451245224401017,20.126600585480084,0.5685644322009649
9,LinearInterpolation,0.002363811039402218,13.02359196461159,0.7069760338752943
9,SinusoidalInterpolation,0.0026948466836014154,12.454378908548229,0.5734627750257161
9,UNet2D,0.0009460343514894433,17.000650466367897,0.359509442845543
9,UNet2dRNO,0.06360618747165658,-1.2752741191817671,0.030537855906605932
9,UNet2dHLCC,0.0008706527600765567,17.361269718825877,0.3549381636327419
